PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
123,0,3,Passenger 123,male,13.8,2,0,TKT00123,68.17,C85,S
124,0,2,Passenger 124,male,48.8,1,0,TKT00124,50.24,C85,S
125,1,1,Passenger 125,male,43.3,0,0,TKT00125,7.38,nan,S
126,0,3,Passenger 126,male,33.1,1,1,TKT00126,16.26,nan,S
127,0,3,Passenger 127,male,,1,1,TKT00127,9.54,A5,S
128,0,1,Passenger 128,male,26.1,1,0,TKT00128,16.22,nan,Q
129,0,2,Passenger 129,male,,1,1,TKT00129,72.5,nan,S
130,0,3,Passenger 130,male,23.8,0,0,TKT00130,6.44,B28,S
131,0,3,Passenger 131,male,,0,0,TKT00131,5.5,nan,S
132,0,3,Passenger 132,female,,0,2,TKT00132,10.35,nan,S
133,0,3,Passenger 133,male,21.1,0,0,TKT00133,25.28,nan,C
134,0,3,Passenger 134,male,20.4,0,0,TKT00134,33.0,A5,S
135,0,2,Passenger 135,male,12.3,1,0,TKT00135,28.5,nan,S
136,0,3,Passenger 136,male,14.1,0,0,TKT00136,51.45,nan,Q
137,0,2,Passenger 137,female,,0,0,TKT00137,4.9,nan,C
138,0,3,Passenger 138,male,39.2,0,0,TKT00138,51.97,nan,C
139,0,2,Passenger 139,female,54.3,1,0,TKT00139,15.65,nan,S
140,0,3,Passenger 140,male,49.0,0,0,TKT00140,36.06,nan,S
141,0,3,Passenger 141,male,6.2,2,0,TKT00141,6.97,nan,S
142,0,3,Passenger 142,male,39.1,2,0,TKT00142,20.17,A5,S
143,0,3,Passenger 143,female,,1,1,TKT00143,24.26,B28,S
144,0,2,Passenger 144,male,,0,1,TKT00144,50.63,nan,C
145,0,3,Passenger 145,male,30.4,0,0,TKT00145,5.65,nan,S
146,0,2,Passenger 146,male,0.9,0,0,TKT00146,20.59,nan,S
147,1,2,Passenger 147,male,,1,0,TKT00147,8.43,nan,S
148,0,2,Passenger 148,male,,1,0,TKT00148,30.1,B28,S
149,0,1,Passenger 149,male,31.8,0,2,TKT00149,37.4,nan,S
150,0,1,Passenger 150,male,7.1,0,0,TKT00150,56.25,nan,C
151,0,3,Passenger 151,female,36.6,0,1,TKT00151,13.09,nan,S
152,0,3,Passenger 152,female,43.3,4,0,TKT00152,42.17,nan,C
153,0,3,Passenger 153,male,18.0,0,1,TKT00153,59.66,C85,S
154,0,1,Passenger 154,male,13.1,0,0,TKT00154,5.39,nan,S
155,0,2,Passenger 155,male,0.5,0,0,TKT00155,32.78,nan,S
156,1,1,Passenger 156,female,,0,0,TKT00156,43.24,nan,C
157,0,3,Passenger 157,male,20.9,0,0,TKT00157,16.33,nan,S
158,0,3,Passenger 158,female,7.3,0,1,TKT00158,7.62,G6,S
159,0,2,Passenger 159,female,,1,1,TKT00159,42.71,nan,S
160,0,3,Passenger 160,female,22.7,2,1,TKT00160,7.69,nan,C
161,1,1,Passenger 161,male,13.9,1,0,TKT00161,17.41,G6,S
162,1,2,Passenger 162,female,21.2,1,0,TKT00162,19.45,nan,C
163,0,1,Passenger 163,male,44.0,1,0,TKT00163,35.6,nan,Q
164,0,2,Passenger 164,male,37.4,0,1,TKT00164,12.17,A5,C
165,0,3,Passenger 165,male,27.2,1,1,TKT00165,11.62,A5,S
166,0,3,Passenger 166,male,37.7,0,0,TKT00166,21.74,nan,S
167,1,1,Passenger 167,female,12.7,1,0,TKT00167,44.93,nan,Q
168,0,3,Passenger 168,female,29.5,1,1,TKT00168,125.21,C85,S
169,0,3,Passenger 169,male,31.1,0,0,TKT00169,6.01,nan,S
170,0,3,Passenger 170,female,22.4,0,1,TKT00170,25.85,nan,S
171,1,3,Passenger 171,male,,0,0,TKT00171,8.42,A5,C
172,0,2,Passenger 172,male,,0,0,TKT00172,45.38,nan,S
173,0,3,Passenger 173,male,,0,0,TKT00173,9.48,nan,S
174,1,2,Passenger 174,female,,0,0,TKT00174,11.71,nan,S
175,0,3,Passenger 175,male,0.5,0,0,TKT00175,12.54,B28,C
176,0,2,Passenger 176,male,,0,0,TKT00176,18.9,nan,S
177,0,3,Passenger 177,male,0.5,0,0,TKT00177,26.01,B28,C
178,0,1,Passenger 178,female,20.4,2,0,TKT00178,29.58,C85,C
179,0,2,Passenger 179,female,43.4,1,0,TKT00179,19.99,nan,Q
180,0,3,Passenger 180,female,24.6,0,0,TKT00180,6.93,A5,C
181,0,3,Passenger 181,female,8.5,1,0,TKT00181,35.95,B28,S
182,0,2,Passenger 182,female,13.7,1,0,TKT00182,19.25,G6,S
183,1,3,Passenger 183,male,43.4,1,0,TKT00183,50.88,nan,S
184,0,3,Passenger 184,male,2.1,0,0,TKT00184,11.4,nan,Q
185,1,2,Passenger 185,female,44.8,0,2,TKT00185,5.57,nan,S
186,0,3,Passenger 186,female,28.2,1,0,TKT00186,19.55,nan,S
187,0,3,Passenger 187,male,12.3,1,0,TKT00187,56.64,nan,C
188,0,3,Passenger 188,male,,1,1,TKT00188,22.85,nan,S
189,1,2,Passenger 189,female,,1,0,TKT00189,17.12,nan,C
190,0,2,Passenger 190,male,41.1,0,0,TKT00190,10.01,nan,S
191,0,3,Passenger 191,female,,0,0,TKT00191,81.96,nan,S
192,0,3,Passenger 192,male,4.9,0,0,TKT00192,8.81,nan,S
193,0,3,Passenger 193,male,,0,2,TKT00193,11.24,nan,S
194,0,3,Passenger 194,female,16.9,0,0,TKT00194,31.69,nan,S
195,0,3,Passenger 195,male,,0,0,TKT00195,4.55,nan,Q
196,0,3,Passenger 196,male,10.1,0,0,TKT00196,55.68,A5,S
197,0,3,Passenger 197,male,,0,0,TKT00197,33.09,nan,S
198,1,3,Passenger 198,female,28.5,1,0,TKT00198,41.24,nan,C
199,0,3,Passenger 199,male,12.7,2,2,TKT00199,31.39,nan,C
200,1,2,Passenger 200,male,19.5,1,0,TKT00200,17.66,nan,S
201,1,3,Passenger 201,female,,1,0,TKT00201,8.58,nan,Q
202,0,2,Passenger 202,female,11.2,0,0,TKT00202,17.96,nan,S
203,0,2,Passenger 203,male,30.3,0,0,TKT00203,9.21,B28,S
204,0,3,Passenger 204,male,11.8,0,0,TKT00204,29.63,nan,S
205,0,2,Passenger 205,male,0.5,2,0,TKT00205,38.3,G6,C
206,0,1,Passenger 206,male,23.7,2,1,TKT00206,65.46,nan,S
207,0,3,Passenger 207,male,3.8,1,0,TKT00207,27.04,nan,S
208,0,3,Passenger 208,female,18.5,0,0,TKT00208,42.08,nan,C
209,0,1,Passenger 209,male,,0,1,TKT00209,15.84,nan,S
210,0,1,Passenger 210,male,16.8,1,0,TKT00210,13.7,nan,S
211,1,2,Passenger 211,female,57.0,0,0,TKT00211,29.34,nan,C
212,0,3,Passenger 212,male,29.8,0,0,TKT00212,14.74,nan,S
213,1,3,Passenger 213,male,32.4,0,1,TKT00213,24.91,A5,S
214,1,1,Passenger 214,female,4.1,0,1,TKT00214,8.59,nan,S
215,0,3,Passenger 215,female,19.8,2,0,TKT00215,9.92,nan,Q
216,1,1,Passenger 216,female,32.0,0,0,TKT00216,33.39,nan,S
217,1,2,Passenger 217,male,14.7,0,0,TKT00217,40.83,D33,S
218,0,3,Passenger 218,male,41.7,0,0,TKT00218,9.13,nan,S
219,1,1,Passenger 219,female,12.2,0,0,TKT00219,34.35,nan,S
220,0,1,Passenger 220,male,,1,0,TKT00220,13.12,nan,Q
221,0,2,Passenger 221,male,20.8,0,2,TKT00221,20.35,nan,S
222,0,3,Passenger 222,male,31.3,0,0,TKT00222,62.4,C85,S
223,0,3,Passenger 223,female,20.0,0,1,TKT00223,38.32,C85,S
224,0,3,Passenger 224,female,25.2,0,1,TKT00224,37.97,E46,S
225,0,1,Passenger 225,male,25.7,3,1,TKT00225,92.48,G6,S
226,1,1,Passenger 226,female,18.7,1,0,TKT00226,11.44,B28,Q
227,0,3,Passenger 227,male,35.8,0,0,TKT00227,9.13,nan,S
228,1,2,Passenger 228,male,32.3,0,0,TKT00228,11.27,nan,S
229,1,3,Passenger 229,male,,0,2,TKT00229,16.39,A5,S
230,0,3,Passenger 230,male,23.0,0,0,TKT00230,4.0,nan,S
231,1,1,Passenger 231,male,40.2,0,0,TKT00231,17.01,D33,S
232,0,3,Passenger 232,male,25.7,0,0,TKT00232,12.99,nan,S
233,0,1,Passenger 233,female,24.7,1,0,TKT00233,37.6,nan,S
234,1,2,Passenger 234,male,,0,1,TKT00234,26.63,nan,C
235,0,3,Passenger 235,female,52.8,0,0,TKT00235,12.42,nan,C
236,0,3,Passenger 236,female,10.2,1,0,TKT00236,32.2,C85,S
237,0,3,Passenger 237,male,39.8,0,0,TKT00237,35.82,nan,Q
238,1,3,Passenger 238,female,2.5,0,0,TKT00238,10.86,nan,S
239,0,3,Passenger 239,male,32.0,0,0,TKT00239,13.54,nan,S
240,0,3,Passenger 240,male,,0,0,TKT00240,4.0,G6,C
241,0,3,Passenger 241,female,35.8,2,0,TKT00241,8.39,nan,S
242,1,1,Passenger 242,female,31.4,0,0,TKT00242,11.09,nan,S
243,0,3,Passenger 243,male,21.2,1,1,TKT00243,21.31,nan,C
244,0,3,Passenger 244,male,,0,0,TKT00244,9.43,nan,S
245,0,2,Passenger 245,male,25.5,1,0,TKT00245,13.32,A5,C
246,0,3,Passenger 246,female,18.0,0,1,TKT00246,7.54,nan,S
247,0,2,Passenger 247,male,24.9,0,0,TKT00247,23.03,C85,C
248,0,1,Passenger 248,male,,0,0,TKT00248,28.24,nan,S
249,0,3,Passenger 249,male,18.3,0,0,TKT00249,27.71,nan,S
250,0,2,Passenger 250,male,,0,0,TKT00250,20.29,nan,S
251,0,3,Passenger 251,female,10.0,0,1,TKT00251,5.85,nan,C
252,0,3,Passenger 252,female,34.5,1,0,TKT00252,12.23,nan,S
253,1,3,Passenger 253,male,36.6,0,0,TKT00253,14.5,nan,C
254,1,2,Passenger 254,male,32.2,0,1,TKT00254,14.55,nan,S
255,0,2,Passenger 255,male,42.5,1,1,TKT00255,21.33,nan,S
256,0,3,Passenger 256,female,,1,1,TKT00256,62.83,nan,S
257,0,3,Passenger 257,female,34.5,0,0,TKT00257,38.46,nan,S
258,0,3,Passenger 258,male,33.3,0,0,TKT00258,9.12,nan,Q
259,0,3,Passenger 259,male,27.7,0,1,TKT00259,34.56,nan,S
260,0,1,Passenger 260,male,21.6,2,0,TKT00260,33.52,nan,S
261,0,3,Passenger 261,male,60.0,1,0,TKT00261,10.54,nan,S
262,0,1,Passenger 262,female,22.7,0,0,TKT00262,39.61,nan,S
263,0,1,Passenger 263,male,19.7,0,0,TKT00263,17.67,nan,S
264,1,3,Passenger 264,male,,0,0,TKT00264,6.5,nan,C
265,1,1,Passenger 265,female,32.5,1,1,TKT00265,28.91,nan,S
266,1,1,Passenger 266,male,,0,0,TKT00266,23.89,nan,S
267,0,1,Passenger 267,male,44.7,0,0,TKT00267,16.74,nan,S
268,0,2,Passenger 268,male,27.7,0,0,TKT00268,19.49,nan,S
269,0,3,Passenger 269,male,,0,1,TKT00269,11.3,nan,S
270,1,1,Passenger 270,male,45.6,1,0,TKT00270,32.72,E46,S
271,0,3,Passenger 271,male,37.8,0,0,TKT00271,19.4,nan,S
272,0,3,Passenger 272,male,11.3,0,1,TKT00272,22.95,D33,C
273,0,1,Passenger 273,male,,0,1,TKT00273,26.73,nan,Q
274,0,1,Passenger 274,male,38.2,0,0,TKT00274,7.98,nan,Q
275,1,3,Passenger 275,female,,2,1,TKT00275,9.82,G6,C
276,0,3,Passenger 276,male,51.3,1,1,TKT00276,4.0,nan,S
277,0,3,Passenger 277,male,31.2,1,1,TKT00277,31.56,nan,C
278,0,3,Passenger 278,male,,1,1,TKT00278,7.62,nan,S
279,0,1,Passenger 279,female,19.8,0,2,TKT00279,22.33,nan,S
280,0,2,Passenger 280,female,,0,0,TKT00280,27.03,nan,S
281,0,3,Passenger 281,male,35.7,0,1,TKT00281,32.52,nan,S
282,0,2,Passenger 282,male,29.2,0,0,TKT00282,7.67,nan,Q
283,1,3,Passenger 283,male,17.9,1,1,TKT00283,19.07,nan,C
284,0,3,Passenger 284,male,30.8,0,0,TKT00284,76.42,nan,S
285,0,3,Passenger 285,male,28.0,0,0,TKT00285,79.16,nan,S
286,0,3,Passenger 286,male,10.3,0,0,TKT00286,44.25,nan,S
287,0,2,Passenger 287,male,8.4,1,1,TKT00287,26.31,nan,S
288,0,1,Passenger 288,male,,0,0,TKT00288,8.99,nan,C
289,1,1,Passenger 289,male,,0,1,TKT00289,35.69,nan,Q
290,0,3,Passenger 290,male,31.9,0,1,TKT00290,17.7,nan,S
291,1,1,Passenger 291,female,22.3,0,0,TKT00291,31.45,nan,S
292,0,1,Passenger 292,male,47.3,1,0,TKT00292,12.11,nan,S
293,0,1,Passenger 293,female,22.1,0,1,TKT00293,17.49,A5,S
294,0,1,Passenger 294,male,38.2,0,2,TKT00294,22.9,A5,S
295,1,3,Passenger 295,female,23.4,2,1,TKT00295,24.46,nan,S
296,1,2,Passenger 296,female,30.6,0,1,TKT00296,29.81,nan,S
297,0,3,Passenger 297,female,39.3,0,1,TKT00297,12.64,nan,S
298,0,1,Passenger 298,female,,1,0,TKT00298,6.86,A5,S
299,0,3,Passenger 299,female,43.0,0,1,TKT00299,73.69,nan,C
300,1,2,Passenger 300,male,15.1,2,0,TKT00300,147.14,nan,S
301,0,2,Passenger 301,female,33.1,0,1,TKT00301,28.73,nan,C
302,0,3,Passenger 302,male,41.9,0,0,TKT00302,6.96,nan,S
303,1,3,Passenger 303,male,38.2,0,0,TKT00303,10.82,B28,S
304,0,3,Passenger 304,male,55.8,0,0,TKT00304,30.18,nan,S
305,1,1,Passenger 305,female,18.3,2,0,TKT00305,58.73,nan,S
306,0,1,Passenger 306,male,9.7,1,2,TKT00306,7.61,nan,S
307,1,3,Passenger 307,male,15.1,0,1,TKT00307,18.18,nan,S
308,0,2,Passenger 308,male,38.2,1,1,TKT00308,23.49,nan,S
309,1,3,Passenger 309,male,36.0,0,0,TKT00309,40.11,nan,Q
310,0,3,Passenger 310,male,30.4,0,2,TKT00310,15.26,nan,S
311,0,3,Passenger 311,male,13.3,0,1,TKT00311,5.75,D33,S
312,0,3,Passenger 312,male,39.7,0,0,TKT00312,33.01,nan,C
313,0,3,Passenger 313,male,,1,0,TKT00313,49.39,D33,S
314,0,1,Passenger 314,male,45.2,0,0,TKT00314,18.8,nan,S
315,0,1,Passenger 315,male,,1,0,TKT00315,27.78,nan,C
316,0,3,Passenger 316,male,34.1,1,0,TKT00316,13.74,nan,S
317,0,3,Passenger 317,male,37.2,0,0,TKT00317,10.21,nan,S
318,1,2,Passenger 318,female,22.1,1,0,TKT00318,45.66,nan,S
319,1,2,Passenger 319,male,3.7,0,1,TKT00319,27.39,nan,S
320,0,3,Passenger 320,female,20.6,0,1,TKT00320,29.73,nan,C
321,0,3,Passenger 321,female,13.7,0,0,TKT00321,66.8,nan,S
322,0,3,Passenger 322,male,,0,1,TKT00322,8.64,C85,S
323,0,2,Passenger 323,male,53.1,0,0,TKT00323,12.91,nan,S
324,0,2,Passenger 324,male,32.8,1,0,TKT00324,22.79,nan,S
325,0,3,Passenger 325,female,34.3,0,0,TKT00325,12.79,nan,S
326,0,2,Passenger 326,female,24.7,0,0,TKT00326,37.58,nan,S
327,0,3,Passenger 327,female,26.6,1,0,TKT00327,17.29,nan,C
328,0,3,Passenger 328,male,,0,0,TKT00328,9.08,nan,S
329,0,1,Passenger 329,male,28.5,0,0,TKT00329,21.17,nan,C
330,0,1,Passenger 330,male,36.4,1,0,TKT00330,23.02,nan,S
331,1,1,Passenger 331,female,26.3,0,0,TKT00331,42.43,G6,S
332,0,3,Passenger 332,male,24.2,1,1,TKT00332,27.51,nan,S
333,0,3,Passenger 333,female,9.3,0,0,TKT00333,29.05,nan,C
334,1,1,Passenger 334,female,1.3,0,0,TKT00334,25.95,nan,S
335,0,3,Passenger 335,male,25.3,0,0,TKT00335,17.28,nan,S
336,0,3,Passenger 336,male,29.8,0,0,TKT00336,11.33,nan,C
337,0,3,Passenger 337,male,,0,0,TKT00337,25.31,nan,S
338,0,3,Passenger 338,female,28.5,0,0,TKT00338,15.39,nan,S
339,0,1,Passenger 339,male,29.8,0,2,TKT00339,77.62,nan,S
340,0,1,Passenger 340,female,0.5,0,0,TKT00340,58.78,A5,S
341,0,3,Passenger 341,male,16.2,1,0,TKT00341,33.32,nan,S
342,0,1,Passenger 342,female,34.7,0,2,TKT00342,27.19,nan,S
343,0,3,Passenger 343,female,34.4,0,0,TKT00343,18.72,nan,Q
344,0,1,Passenger 344,male,,0,0,TKT00344,7.32,G6,S
345,0,1,Passenger 345,female,31.2,0,2,TKT00345,16.9,nan,S
346,0,1,Passenger 346,female,43.3,0,0,TKT00346,21.78,nan,Q
347,0,2,Passenger 347,female,39.9,0,0,TKT00347,24.13,nan,S
348,0,1,Passenger 348,male,,1,1,TKT00348,29.24,G6,S
349,0,1,Passenger 349,male,22.4,0,0,TKT00349,41.97,nan,S
350,0,3,Passenger 350,male,20.2,0,0,TKT00350,11.55,nan,S
351,0,2,Passenger 351,male,,1,0,TKT00351,11.63,nan,S
352,0,2,Passenger 352,male,31.7,1,0,TKT00352,64.12,nan,Q
353,0,1,Passenger 353,male,37.8,0,1,TKT00353,37.22,nan,C
354,0,2,Passenger 354,male,30.8,0,1,TKT00354,14.69,nan,S
355,1,2,Passenger 355,male,40.5,0,0,TKT00355,18.43,nan,S
356,0,3,Passenger 356,male,30.3,1,0,TKT00356,18.5,nan,C
357,1,1,Passenger 357,female,40.0,1,0,TKT00357,20.6,nan,S
358,0,3,Passenger 358,female,41.2,2,0,TKT00358,29.32,A5,C
359,1,3,Passenger 359,male,17.7,0,0,TKT00359,152.63,G6,S
360,0,1,Passenger 360,male,,1,0,TKT00360,23.38,G6,n
361,0,1,Passenger 361,female,50.6,1,0,TKT00361,34.13,nan,C
362,0,1,Passenger 362,male,32.6,0,0,TKT00362,5.21,A5,S
363,0,3,Passenger 363,male,5.0,0,0,TKT00363,13.63,nan,S
364,1,1,Passenger 364,male,19.0,2,2,TKT00364,53.68,nan,C
365,0,3,Passenger 365,female,39.8,2,1,TKT00365,27.71,nan,S
366,0,3,Passenger 366,male,,0,1,TKT00366,4.0,nan,S
367,1,3,Passenger 367,female,21.8,1,0,TKT00367,34.44,nan,S
368,0,3,Passenger 368,female,48.6,0,0,TKT00368,93.18,nan,S
369,1,3,Passenger 369,male,14.3,1,1,TKT00369,4.07,nan,S
370,0,1,Passenger 370,female,17.8,3,0,TKT00370,67.73,nan,S
